trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.5, 'e': 0.3161449977179156}",20,0,18.83586556214416,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.3098220977635573}",20,4,-24.70162933416568,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.30362565580828615}",30,2,-35.06326296897014,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.2975531426921204}",25,3,4.278555618963805,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.291602079838278}",20,0,-24.177381458235597,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.2857700382415124}",20,8,-33.18842475667402,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.2800546374766822}",20,0,1.9378283137603065,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.2744535447271485}",20,0,-31.028612496782095,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.2689644738326056}",25,11,-27.418244520177726,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.26358518435595346}",25,7,-17.344476152659247,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.25831348066883436}",20,7,-17.640347182532942,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.2531472110554577}",20,0,-28.205768809317714,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.2480842668343485}",25,9,4.503696126224887,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.24312258149766153}",25,0,-42.83990751892511,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.2382601298677083}",35,9,23.63046025310233,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.23349492727035415}",25,7,-14.914812064625671,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.22882502872494703}",35,24,18.780405184107693,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.2242485281504481}",20,0,0.3997862238511438,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.21976355758743912}",20,0,-25.011074393982405,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.21536828643569034}",25,14,-45.81856912035946,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.21106092070697655}",25,11,-22.865108027580728,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.206839702292837}",30,2,-14.848122479582939,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.20270290824698026}",30,0,-62.94074139636652,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.19864885008204064}",20,1,-24.914592003774,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
