trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
199,False,"{'a': 0.5, 'e': 0.018313147236278113}",20,14,11.536756017841826,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.017946884291552553}",20,7,19.41585790173233,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.0175879466057215}",25,0,36.169732871447124,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
202,False,"{'a': 0.5, 'e': 0.01723618767360707}",30,8,9.766379314156797,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.01689146392013493}",25,16,15.909213185454501,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,14,21.451157072067094,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,7,25.89707816539568,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,8,32.939007847538605,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,7,19.821241519785275,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,5,24.199568781073765,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,17,14.703997184992811,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,13,17.27465570499651,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,13,37.22633060620685,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,14,24.83851805857013,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,10,16.130425056809486,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
